,x
661,轻纺城 600790
662,京能置业 600791
663,ST马龙 600792
664,ST宜纸 600793
665,保税科技 600794
666,国电电力 600795
667,钱江生化 600796
668,浙大网新 600797
669,宁波海运 600798
670,ST磁卡 600800
671,华新水泥 600801
672,福建水泥 600802
673,威远生化 600803
674,鹏博士 600804
675,悦达投资 600805
676,昆明机床 600806
677,天业股份 600807
678,马钢股份 600808
679,山西汾酒 600809
680,神马股份 600810
681,东方集团 600811
682,华北制药 600812
683,杭州解百 600814
684,厦工股份 600815
685,安信信托 600816
686,中路股份 600818
687,耀皮玻璃 600819
688,隧道股份 600820
689,津劝业 600821
690,上海物贸 600822
691,世茂股份 600823
692,益民集团 600824
693,新华传媒 600825
694,兰生股份 600826
695,友谊股份 600827
696,成商集团 600828
697,三精制药 600829
698,香溢融通 600830
699,广电网络 600831
700,东方明珠 600832
701,第一医药 600833
702,申通地铁 600834
703,上海机电 600835
704,界龙实业 600836
705,海通证券 600837
706,上海九百 600838
707,四川长虹 600839
708,上柴股份 600841
709,上工申贝 600843
710,丹化科技 600844
711,宝信软件 600845
712,同济科技 600846
713,ST渝万里 600847
714,自仪股份 600848
715,华东电脑 600850
716,海欣股份 600851
717,龙建股份 600853
718,ST春兰 600854
719,航天长峰 600855
720,长百集团 600856
721,工大首创 600857
722,银座股份 600858
723,王府井 600859
724,*ST北人 600860
725,北京城乡 600861
726,南通科技 600862
727,内蒙华电 600863
728,哈投股份 600864
729,百大集团 600865
730,星湖科技 600866
731,通化东宝 600867
732,ST梅雁 600868
733,三普药业 600869
734,ST厦华 600870
735,S仪化 600871
736,中炬高新 600872
737,五洲明珠 600873
738,创业环保 600874
739,东方电气 600875
740,ST洛玻 600876
741,中国嘉陵 600877
742,航天电子 600879
743,博瑞传播 600880
744,亚泰集团 600881
745,大成股份 600882
746,博闻科技 600883
747,杉杉股份 600884
748,*ST力阳 600885
749,国投电力 600886
750,伊利股份 600887
751,新疆众和 600888
752,南京化纤 600889
753,ST中房 600890
754,ST秋林 600891
755,*ST宝诚 600892
756,航空动力 600893
757,广钢股份 600894
758,张江高科 600895
759,中海海盛 600896
760,厦门空港 600897
761,长江电力 600900
762,滨州活塞 600960
763,株冶集团 600961
764,国投中鲁 600962
765,岳阳纸业 600963
766,福成五丰 600965
767,博汇纸业 600966
768,北方创业 600967
769,郴电国际 600969
770,中材国际 600970
771,恒源煤电 600971
772,宝胜股份 600973
773,新五丰 600975
774,武汉健民 600976
775,宜华木业 600978
776,广安爱众 600979
777,北矿磁材 600980
778,江苏开元 600981
779,宁波热电 600982
780,合肥三洋 600983
781,*ST建机 600984
782,雷鸣科化 600985
783,科达股份 600986
784,航民股份 600987
785,*ST宝龙 600988
786,四创电子 600990
787,广汽长丰 600991
788,贵绳股份 600992
789,马应龙 600993
790,文山电力 600995
791,开滦股份 600997
792,九州通 600998
793,招商证券 600999
794,唐山港 601000
795,大同煤业 601001
796,晋亿实业 601002
797,柳钢股份 601003
798,重庆钢铁 601005
799,大秦铁路 601006
800,金陵饭店 601007
801,连云港 601008
802,南京银行 601009
803,宝泰隆 601011
804,宁波港 601018
805,中国神华 601088
806,中南传媒 601098
807,太平洋 601099
808,昊华能源 601101
809,中国一重 601106
810,四川成渝 601107
811,中国国航 601111
812,三江购物 601116
813,中国化学 601117
814,海南橡胶 601118
815,四方股份 601126
816,博威合金 601137
817,深圳燃气 601139
818,重庆水务 601158
819,兴业银行 601166
820,西部矿业 601168
821,北京银行 601169
822,杭齿前进 601177
823,中国西电 601179
824,中国铁建 601186
825,龙江交通 601188
826,内蒙君正 601216
827,二重重装 601268
828,农业银行 601288
829,中国北车 601299
830,中国平安 601318
831,交通银行 601328
832,广深铁路 601333
833,陕鼓动力 601369
834,兴业证券 601377
835,中国中铁 601390
836,工商银行 601398
837,吉林高速 601518
838,大智慧 601519
839,华锐风电 601558
840,北辰实业 601588
841,中国铝业 601600
842,中国太保 601601
843,上海医药 601607
844,广电电气 601616
845,中国中冶 601618
846,中国人寿 601628
847,平煤股份 601666
848,中国建筑 601668
849,DR滨化股 601678
850,华泰证券 601688
851,潞安环能 601699
852,风范股份 601700
853,郑煤机 601717
854,际华集团 601718
855,上海电气 601727
856,中国南车 601766
857,力帆股份 601777
858,光大证券 601788
859,星宇股份 601799
860,皖新传媒 601801
861,中海油服 601808
862,光大银行 601818
863,中国石油 601857
864,中海集运 601866
865,招商轮船 601872
866,正泰电器 601877
867,大连港 601880
868,中国国旅 601888
869,亚星锚链 601890
870,中煤能源 601898
871,紫金矿业 601899
872,国投新集 601918
873,中国远洋 601919
874,永辉超市 601933
875,建设银行 601939
876,金钼股份 601958
877,中国银行 601988
878,中国重工 601989
879,大唐发电 601991
880,金隅股份 601992
881,中信银行 601998
882,出版传媒 601999
883,深发展Ａ 000001
884,万  科Ａ 000002
885,ST国农 000004
886,世纪星源 000005
887,深振业Ａ 000006
888,ST零七 000007
889,ST宝利来 000008
890,中国宝安 000009
891,S ST华新 000010
