"","x"
"619","一汽富维 600742"
"620","华远地产 600743"
"621","华银电力 600744"
"622","中茵股份 600745"
"623","江苏索普 600746"
"624","大连控股 600747"
"625","上实发展 600748"
"626","西藏旅游 600749"
"627","江中药业 600750"
"628","SST天海 600751"
"629","东方银星 600753"
"630","锦江股份 600754"
"631","厦门国贸 600755"
"632","浪潮软件 600756"
"633","*ST源发 600757"
"634","红阳能源 600758"
"635","正和股份 600759"
"636","中航黑豹 600760"
"637","安徽合力 600761"
"638","通策医疗 600763"
"639","中电广通 600764"
"640","中航重机 600765"
"641","园城股份 600766"
"642","运盛实业 600767"
"643","宁波富邦 600768"
"644","*ST祥龙 600769"
"645","综艺股份 600770"
"646","ST东盛 600771"
"647","西藏城投 600773"
"648","汉商集团 600774"
"649","南京熊猫 600775"
"650","东方通信 600776"
"651","新潮实业 600777"
"652","友好集团 600778"
"653","水井坊 600779"
"654","通宝能源 600780"
"655","上海辅仁 600781"
"656","新钢股份 600782"
"657","鲁信高新 600783"
"658","鲁银投资 600784"
"659","新华百货 600785"
"660","中储股份 600787"
"661","鲁抗医药 600789"
"662","轻纺城 600790"
"663","京能置业 600791"
"664","ST马龙 600792"
"665","ST宜纸 600793"
"666","保税科技 600794"
"667","国电电力 600795"
"668","钱江生化 600796"
"669","浙大网新 600797"
"670","宁波海运 600798"
"671","ST磁卡 600800"
"672","华新水泥 600801"
"673","福建水泥 600802"
"674","威远生化 600803"
"675","鹏博士 600804"
"676","悦达投资 600805"
"677","昆明机床 600806"
"678","天业股份 600807"
"679","马钢股份 600808"
"680","山西汾酒 600809"
"681","神马股份 600810"
"682","东方集团 600811"
"683","华北制药 600812"
"684","杭州解百 600814"
"685","厦工股份 600815"
"686","安信信托 600816"
"687","中路股份 600818"
"688","耀皮玻璃 600819"
"689","隧道股份 600820"
"690","津劝业 600821"
"691","上海物贸 600822"
"692","世茂股份 600823"
"693","益民集团 600824"
"694","新华传媒 600825"
"695","兰生股份 600826"
"696","友谊股份 600827"
"697","成商集团 600828"
"698","三精制药 600829"
"699","香溢融通 600830"
"700","广电网络 600831"
"701","东方明珠 600832"
"702","第一医药 600833"
"703","申通地铁 600834"
"704","上海机电 600835"
"705","界龙实业 600836"
"706","海通证券 600837"
"707","上海九百 600838"
"708","四川长虹 600839"
"709","上柴股份 600841"
"710","上工申贝 600843"
"711","丹化科技 600844"
"712","宝信软件 600845"
"713","同济科技 600846"
"714","ST渝万里 600847"
"715","自仪股份 600848"
"716","华东电脑 600850"
"717","海欣股份 600851"
"718","龙建股份 600853"
"719","ST春兰 600854"
"720","航天长峰 600855"
"721","长百集团 600856"
"722","工大首创 600857"
"723","银座股份 600858"
"724","王府井 600859"
"725","*ST北人 600860"
"726","北京城乡 600861"
"727","南通科技 600862"
"728","内蒙华电 600863"
"729","哈投股份 600864"
"730","百大集团 600865"
"731","星湖科技 600866"
"732","通化东宝 600867"
"733","ST梅雁 600868"
"734","三普药业 600869"
"735","ST厦华 600870"
"736","S仪化 600871"
"737","中炬高新 600872"
"738","五洲明珠 600873"
"739","创业环保 600874"
"740","东方电气 600875"
"741","ST洛玻 600876"
"742","中国嘉陵 600877"
"743","航天电子 600879"
"744","博瑞传播 600880"
"745","亚泰集团 600881"
"746","大成股份 600882"
"747","博闻科技 600883"
"748","杉杉股份 600884"
"749","*ST力阳 600885"
"750","国投电力 600886"
"751","伊利股份 600887"
"752","新疆众和 600888"
"753","南京化纤 600889"
"754","ST中房 600890"
"755","ST秋林 600891"
"756","*ST宝诚 600892"
"757","航空动力 600893"
"758","广钢股份 600894"
"759","张江高科 600895"
"760","中海海盛 600896"
"761","厦门空港 600897"
"762","长江电力 600900"
"763","滨州活塞 600960"
"764","株冶集团 600961"
"765","国投中鲁 600962"
"766","岳阳纸业 600963"
"767","福成五丰 600965"
"768","博汇纸业 600966"
"769","北方创业 600967"
"770","郴电国际 600969"
"771","中材国际 600970"
"772","恒源煤电 600971"
"773","宝胜股份 600973"
"774","新五丰 600975"
"775","武汉健民 600976"
"776","宜华木业 600978"
"777","广安爱众 600979"
"778","北矿磁材 600980"
"779","江苏开元 600981"
"780","宁波热电 600982"
"781","合肥三洋 600983"
"782","*ST建机 600984"
"783","雷鸣科化 600985"
"784","科达股份 600986"
"785","航民股份 600987"
"786","*ST宝龙 600988"
"787","四创电子 600990"
"788","广汽长丰 600991"
"789","贵绳股份 600992"
"790","马应龙 600993"
"791","文山电力 600995"
"792","开滦股份 600997"
"793","九州通 600998"
"794","招商证券 600999"
"795","唐山港 601000"
"796","大同煤业 601001"
"797","晋亿实业 601002"
"798","柳钢股份 601003"
"799","重庆钢铁 601005"
"800","大秦铁路 601006"
"801","金陵饭店 601007"
"802","连云港 601008"
"803","南京银行 601009"
"804","宝泰隆 601011"
"805","宁波港 601018"
"806","中国神华 601088"
"807","中南传媒 601098"
"808","太平洋 601099"
"809","昊华能源 601101"
"810","中国一重 601106"
"811","四川成渝 601107"
"812","中国国航 601111"
"813","三江购物 601116"
"814","中国化学 601117"
"815","海南橡胶 601118"
"816","四方股份 601126"
"817","博威合金 601137"
"818","深圳燃气 601139"
"819","重庆水务 601158"
"820","兴业银行 601166"
